hypomania,,,,,,,,,,,,,,,,,,,,,,,,,,
angry,fury,,enraged,exasperated,furious,Infuriated,Petulant,indignant,irate,irritable,irritated,offended,outraged,,sullen,uptight,,,,,,,,,,
guard,,,,,,,,,,,,,,,,,,,,,,,,,,
libido,lust,sexual desire,sexuality,,,,,,,,,,,,,,,,,,,,,,,
solitary,lone,lonely,singular,,,,,,,,,,,,,,,,,,,,,,,
mistrust,,distrust,doubt,,,,skepticism,suspicion,,wariness,,,,,,,,,,,,,,,,
impulsive,abrupt,hasty,impetuous,,,,,,,,,,,,,,,,,,,,,,,
blurt,exclaim,,,,,,,,,,,,,,,,,,,,,,,,,
conscientious,diligent,fastidious,,meticulous,,,,,,,,,,,,,,,,,,,,,,
Inhalants,opiate,,,,,,,,,,,,,,,,,,,,,,,,,
Self-multilation,,,,,,,,,,,,,,,,,,,,,,,,,,
inattentive,,,,distracted,distraught,,oblivious,,,,,,,,,,,,,,,,,,,
amphetamines,,,,,,,,,,,,,,,,,,,,,,,,,,
meth,,,,,,,,,,,,,,,,,,,,,,,,,,
callous,apathetic,careless,cold-blooded,,,,uncaring,unsympathetic,,,,,,,,,,,,,,,,,,
violation,abuse,contravention,encroachment,infraction,infringement,misdemeanor,negligence,offense,transgression,,,,,,,,,,,,,,,,,
irresponsible,capricious,,,,,,,,,,,,,,,,,,,,,,,,,
closeness,intimacy,proximity,,,,,,,,,,,,,,,,,,,,,,,,
demanding,,,,,,,,pressing,strict,stringent,,,,,,,,,,,,,,,,
provocative,challenging,disturbing,,inspirational,insulting,offensive,,,,,,,,,,,,,,,,,,,,
Stimulants,,,impetus,stimulus,,,,,,,,,,,,,,,,,,,,,,
hatred,acrimony,alienation,animosity,animus,antagonism,antipathy,bitterness,contempt,disgust,distaste,enmity,envy,grudge,hate,horror,hostility,ill will,loathing,malice,prejudice,rancor,revenge,revulsion,,,
risk-taking,bravado,valor,,,,,,,,,,,,,,,,,,,,,,,,
Wandering,roving,winding,,,,,,,,,,,,,,,,,,,,,,,,
aspiration,aim,ambition,desire,dream,eagerness,endeavor,inclination,longing,objective,passion,wish,yearning,,,,,,,,,,,,,,
self-abuse,,,,,,,,,,,,,,,,,,,,,,,,,,
fatigued,exhausted,listless,weary,,,,,,,,,,,,,,,,,,,,,,,
Tobacco,cigarette,,smoking,,,,,,,,,,,,,,,,,,,,,,,
hyperactive,excitable,high-strung,sleepless,,,,,,,,,,,,,,,,,,,,,,,
numb,dazed,,,,,,,,,,,,,,,,,,,,,,,,,
dissociated,alienate,detach,disband,disconnect,disengage,,,,,,,,,,,,,,,,,,,,,
baby,pregnant,,,,,,,,,,,,,,,,,,,,,,,,,
incoherence,,,,,,,,,,,,,,,,,,,,,,,,,,
truant,,,,,,,,,,,,,,,,,,,,,,,,,,
asleep,,,,,,,,,,,,,,,,,,,,,,,,,,
dysarthria,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,,,,,,,,,,,,,,,,,,,,,,,,,,
shame,,,guilt,humiliation,,,,,,,,,,,,,,,,,,,,,,
headache,,,,,,,,,,,,,,,,,,,,,,,,,,
Deceitful,Deceptive,Fraudulent,,,,,,,,,,,,,,,,,,,,,,,,
lethargy,apathy,disinterest,drowsiness,inactivity,,,,,,,,,,,,,,,,,,,,,,
inferiority,inadequacy,,,,,,,,,,,,,,,,,,,,,,,,,
adult,,,,,,,,,,,,,,,,,,,,,,,,,,
abuse,corruption,crime,exploitation,injustice,misconduct,misdeed,misuse,offense,prostitution,wrongdoing,,,,,,,,,,,,,,,,
misplace,Chaotic,disorganize,,,,,,,,,,,,,,,,,,,,,,,,
dissatisfaction,annoyance,anxiety,boredom,complaint,disapproval,discomfort,dismay,displeasure,disquiet,distaste,exasperation,frustration,irritation,jealousy,regret,resentment,uneasiness,weariness,worry,,,,,,,
interrupt,break,break off,cut off,cut short,delay,discontinue,disturb,halt,heckle,hinder,hold up,impede,prevent,punctuate,stop,suspend,,,,,,,,,,
mania,,,,,,,,,,,,,,,,,,,,,,,,,,
"""high""",,,,,,,,,,,,,,,,,,,,,,,,,,
self-admiration,,dignity,ego,,honor,,,,self-confidence,self-respect,,,,,,,,,,,,,,,,
detached,desolation,removed,abandoned,,,,,,,,,,,,,,,,,,,,,,,
helpless,defenseless,destitute,vulnerable,forlorn,impotent,paralyzed,powerless,,unprotected,,,,,,,,,,,,,,,,,
reassurance,boost,comfort,encouragement,relief,,,,,,,,,,,,,,,,,,,,,,
contact,association,connection,influence,,touch,unity,,,,,,,,,,,,,,,,,,,,
respiration,,,,,,,,,,,,,,,,,,,,,,,,,,
confusion,bewilderment,disorientation,,,,,,,,,,,,,,,,,,,,,,,,
metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,
dementia,,,,,,,,,,,,,,,,,,,,,,,,,,
procrastinate,dawdle,hesitate,,,,,,,,,,,,,,,,,,,,,,,,
painkillers,aspirin,inhalant,drug,morphine,ointment,opiate,sedative,tranquilizer,,,,,,,,,,,,,,,,,,
tired,fatigue,Legargy,Weariness,drained,Exhausted,fatigued,Listless,overworked,sleepy,stale,,,,,,,,,,,,,,,,
